species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Citharichthys sordidus,Paralichthyidae,Pleuronectiformes,Citharichthys sordidus,demersal,0,549,41,TL,hunting macrofauna (predator),,generalist,Beukhof et al. 2019,variable,terminal,truncate,sandy bottoms,benthic,5.3,13,,,,Love 2011,,,13,,Love 2011,Found on sand bottoms (Ref. 2850).  Young may occur at depth less than 9 m (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,found in brackish water
Atheresthes evermanni,Pleuronectidae,Pleuronectiformes,Atheresthes evermanni,demersal,25,1200,110,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,emarginate,soft bottoms,benthic,-1.3,10,,,,Love 2011,,1386000,33,,"Beukhof et al. 2019, Love 2011",NA,NA,59.41226576,22.95570698,13.84156729,0.042589438,1.36286201,0.255536627,0.638841567,0.085178876,0,0.425894378,0.936967632,0,0.042589438,0,
Atheresthes stomias,Pleuronectidae,Pleuronectiformes,Atheresthes stomias,demersal,12,900,86,TL,hunting macrofauna (predator),,generalist,fishbase,,terminal,emarginate,soft bottoms,benthic,-1.5,12,,,,Love 2011,,2339000,56,,Love 2011,Adults are found on soft bottoms (Ref. 2850).  Feed on crustaceans and fishes (Ref. 6885).  Not marketed as human food (Ref. 2850).,Found on soft bottoms (Ref. 2850).  Feeds on crustaceans and fishes (Ref. 6885).,50.51873894,16.49911533,29.61235323,0.056297249,1.596429146,0.136721892,0.884671063,0.056297249,0,0.237252694,0.30561364,0.064339714,0.028148625,0.004021232,
Embassichthys bathybius,Pleuronectidae,Pleuronectiformes,Embassichthys bathybius,bathydemersal,320,1433,52,TL,NA,,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,3.1,5.5,,,,Love 2011,,,,,,Found on mud bottoms (Ref. 2850).,NA,0,6.666666667,26.66666667,0,46.66666667,0,6.666666667,0,0,6.666666667,0,6.666666667,0,0,
Eopsetta jordani,Pleuronectidae,Pleuronectiformes,Eopsetta jordani,demersal,0,550,70,TL,hunting macrofauna (predator),,generalist,fishbase,benthic,terminal,truncate,sandy mud bottoms,benthic,4.1,12.2,,,,Love 2011,,1200000,35,,"Beukhof et al. 2019, Love 2011","Adults are found on sand bottom (Ref. 2850), usually in deep water (Ref. 9988).  Feed on invertebrates and bottom fishes (Ref. 6885).  Livers of large individuals are a rich source of vitamin A (Ref. 6885).  Marketed fresh or as frozen fillets (Ref. 2850).  Eaten steamed, fried, micro-waved and baked (Ref. 9988).  Generally regarded as the premium Pacific coast sole (Ref. 9988).",Feeds on benthic invertebrates and demersal fish (Ref. 6885).,26.66666667,66.66666667,0,0,0,0,0,6.666666667,0,0,0,0,0,0,
Glyptocephalus zachirus,Pleuronectidae,Pleuronectiformes,Glyptocephalus zachirus,demersal,0,850,61,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,sandy mud bottoms,benthic,-0.5,12.2,,,can live in brackish,Love 2011,,238000,29,,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Love 2011","A slow-growing species found on sand or mud bottoms (Ref. 2850).  Usually discarded by trawlers but sometimes processed into fertilizer (Ref. 27436).  Flesh considered tasty (Ref. 27436).  Utilized fresh and frozen; eaten steamed, fried, microwaved and baked (Ref. 9988).",NA,0.793126239,6.080634501,43.09319233,0.066093853,44.11764706,0.330469266,0.29742234,0.594844679,0,1.288830139,3.23859881,0.033046927,0.066093853,0,
Hippoglossoides elassodon,Pleuronectidae,Pleuronectiformes,Hippoglossoides elassodon,demersal,0,1050,56,TL,hunting macrofauna (predator),oceanodromous,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,-2,12,,,,Love 2011,,600000,27,,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Found on soft bottom (Ref. 2850).  Adults usually below 180 m (Ref. 2850).  Feed on clams, worms and crustaceans (Ref. 6885).  Taken by shrimp and otter trawls (Ref. 6885).",Feeds on fish and benthic organisms (Ref. 6885).,6.84443177,24.87523171,29.83744475,0.021388849,10.03849993,0.163981178,0.078425781,0.349351205,0,23.43504919,4.27064024,0.057036931,0.028518466,0,
Hippoglossoides robustus,Pleuronectidae,Pleuronectiformes,Hippoglossoides robustus,demersal,18,425,52,TL,hunting macrofauna (predator),oceanodromous,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,-2.1,7.9,29.4,33.5,,"Love 2011, USGS",,600000,28,,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,Benthic (Ref. 58426). Minimum depth reported at 0m (Ref. 50550).,Benthic (Ref. 58426).,20.53701016,16.76342525,42.16255443,0,9.796806967,0.07256894,0.07256894,0.145137881,0,4.862119013,5.515239478,0,0.07256894,0,
Hippoglossus stenolepis,Pleuronectidae,Pleuronectiformes,Hippoglossus stenolepis,demersal,6,1100,267,TL,hunting macrofauna (predator),oceanodromous,generalist,NOAA,variable,terminal,emarginate,variable,benthic,-1,11.5,23.5,,occasionally in estuaries,"mecks, USGS",,3500000,55,schooling,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, USGS","Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feed on fishes, crabs, clams, squids, and other invertebrates (Ref. 6885).  Utilized fresh, dried or salted, smoked and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).","Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feeds on fishes, cephalopods, crabs, clams, squids, and other invertebrates (Ref. 6885).",38.77646274,47.06451075,5.014169028,0,1.903650608,0.070011669,3.777296216,0.973495583,0,0.663443907,1.383563927,0.266711119,0.086681114,0.020003334,
Isopsetta isolepis,Pleuronectidae,Pleuronectiformes,Isopsetta isolepis,demersal,6,425,55,TL,hunting macrofauna (predator),oceanodromous,invertivore,NOAA,variable,terminal,rounded,mud bottoms,benthic,2.5,8.8,,,,Love 2011,,1000000,12,,Love 2011,"Common in shallow water on soft, silty bottom.  Moves into shallow water in summer and to deeper water in winter (Ref. 6885).  Spawning adults exhibit north-south migrations (Ref. 6885).  Feeds on chaetopod marine worms, young herring, shrimps, and sand dollars (Ref. 6885).  A tasty food fish, sometimes marketed (Ref. 2850).  Also used for mink food (Ref. 2850).",Feeds on fish and benthic invertebrates (Ref. 6885).,3.883495146,1.941747573,32.03883495,0,15.53398058,0,0,0,0,31.06796117,15.53398058,0,0,0,
Lepidopsetta bilineata,Pleuronectidae,Pleuronectiformes,Lepidopsetta bilineata,demersal,0,339,58,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,sandy bottoms,benthic,2,10,,,,Love 2011,,,26,,Beukhof et al. 2019,"Adults occur over sand and gravel substrates to depths of 339 m; larvae collected over depths less than 1,000 m (Ref. 37594).  Feed on mollusks, polychaete worms, crustaceans, brittle stars, and fishes (Ref. 6885).  A tasty food fish; in some years commercial catch in Canada reaches 3,000 t (Ref. 2850).",NA,3.969849246,12.31155779,21.05527638,0,34.22110553,0.603015075,0.703517588,0.40201005,0,13.81909548,12.51256281,0.40201005,0,0,
Lepidopsetta polyxystra,Pleuronectidae,Pleuronectiformes,Lepidopsetta polyxystra,demersal,0,246,69,TL,variable,,invertivore,NOAA,benthic,terminal,rounded,sandy bottoms,benthic,-1.1,11.8,,,,Love 2011,,404200,27,,"Beukhof et al. 2019, Love 2011","Occurs on sand, also together with gravel and mud (Ref. 37594).",NA,1.628954795,2.842006239,30.410457,0.217854137,44.59078081,0.747635787,0.024756152,0.509976729,0.00495123,8.020993217,10.70951131,0.277268901,0.014853691,0,
Limanda aspera,Pleuronectidae,Pleuronectiformes,Limanda aspera,demersal,10,600,49,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,-1.5,13,,,estuarine,USGS,,3635108,39,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Adults feed on hydroids, worms, mollusks, and brittle stars (Ref. 6885).  Marketed frozen and eaten fried, microwaved and baked (Ref. 9988).",NA,1.19800995,6.348258706,34.71442786,0.545273632,29.70746269,2.252736318,0.019900498,1.408955224,0,11.47860697,11.82089552,0.358208955,0.143283582,0.0039801,
Limanda proboscidea,Pleuronectidae,Pleuronectiformes,Limanda proboscidea,demersal,10,125,41,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,-1.8,11.7,,,,,,841000,,,Love 2011,Benthic (Ref. 58426).,Benthic.,0.280898876,0,35.95505618,0,52.52808989,0,0,0.280898876,0,0,10.11235955,0.280898876,0.561797753,0,
Limanda sakhalinensis,Pleuronectidae,Pleuronectiformes,Limanda sakhalinensis,demersal,20,95,35,TL,NA,,planktivore,NOAA,,terminal,rounded,soft bottoms,benthic,-1.7,9.3,,,,USGS,,,8,,Beukhof et al. 2019,NA,NA,0,0.34965035,80.06993007,0,17.83216783,0.34965035,0,0,0,0,1.398601399,0,0,0,
Liopsetta glacialis,Pleuronectidae,Pleuronectiformes,Liopsetta glacialis,demersal,0,19,35,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,truncate,mud bottoms,benthic,-1,13.5,0,31,,USGS,,200000,28,schooling,"mecks, USGS","A coastal species not found far offshore (Ref. 27547).  Occurs at shallow depths on mud bottoms, often in brackish water (Ref. 4705) and frequently entering freshwaters (Ref. 59043).  Benthic (Ref. 58426).  Feeds on small fishes and bottom invertebrates (Ref. 4705).  Moves closer inshore in the evenings, especially on a rising tide (Ref. 27547).  Appears to move offshore in the fall and inshore in the spring (Ref. 27547).","A coastal species not found far offshore (Ref. 27547).  Occurs at shallow depths on mud bottoms, often in brackish water and may even enter rivers (Ref. 4705).  Benthic (Ref. 58426).  Feeds on small fishes, bottom invertebrates (Ref. 4705), and zoobenthos (Ref. 27547).  Moves closer inshore in the evenings, especially on a rising tide (Ref. 27547).  Appears to move offshore in the fall and inshore in the spring (Ref. 27547).",0,0,16.66666667,0,66.66666667,0,0,0,0,16.66666667,0,0,0,0,found in freshwater
Lyopsetta exilis,Pleuronectidae,Pleuronectiformes,Lyopsetta exilis,bathydemersal,10,800,35,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,4.1,10.8,,,,Love 2011,,,20,,Love 2011,Occurs in the vicinity of rocky areas (Ref. 4925).  Good food fish but is of little commercial importance due to its small size (Ref. 6885).,NA,0,59.25925926,25.92592593,0,11.11111111,0,0,0,0,3.703703704,0,0,0,0,
Microstomus pacificus,Pleuronectidae,Pleuronectiformes,Microstomus pacificus,demersal,9,1244,76,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,2.3,11.2,,,,Love 2011,,265000,60,,Love 2011,Adults occur on mud bottom (Ref. 2850).  They move into deep water in winter (Ref. 2850).  Produce large amounts of slime which may cover other fishes when caught in trawls (Ref. 4925).  Marketed as mink food (Ref. 4925) or as fillet (Ref. 2850).,NA,0.109469075,1.3136289,30.76081007,0,40.77723043,0.21893815,0.492610837,1.09469075,0,17.0771757,7.389162562,0.4378763,0.328407225,0,
Parophrys vetulus,Pleuronectidae,Pleuronectiformes,Parophrys vetulus,demersal,0,550,61,TL,hunting macrofauna (predator),oceanodromous,invertivore,NOAA,benthic,terminal,truncate,sandy mud bottoms,benthic,2.9,21,12,,,Love 2011,,2100000,23,,Love 2011,"Adults inhabit sand and mud bottoms (Ref. 4925).  Young occur in intertidal areas.  Feed on small crustaceans, marine worms, brittle stars and small mollusks (Ref. 6885).  Spawning adults make extensive migrations (Ref. 6885).",NA,0.323624595,0.647249191,23.62459547,0,46.92556634,0,0,1.294498382,0,13.91585761,12.94498382,0,0,0.323624595,
Platichthys stellatus,Pleuronectidae,Pleuronectiformes,Platichthys stellatus,demersal,0,375,91,TL,hunting macrofauna (predator),catadromous,invertivore,NOAA,benthic,terminal,truncate,soft bottoms,benthic,-1.8,11.7,3.7,8,found in freshwater,USGS,,2287000,42,,Love 2011,"Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).  Important game fish (Ref. 2850).  Utilized fresh and frozen; eaten steamed, fried, boiled, microwaved, and baked (Ref. 9988).","Euryhaline, can exist in freshwater lagoons and river mouths, sometimes moving very far upstream. Occurs mainly in the upper sublittoral zone (Ref. 9013).  Found inshore, often in very shallow water and in estuaries during the summer; moving into deeper water in the winter (Ref. 27547).  However, they may occur in deep water throughout the year (Ref. 27547).  Does not venture into water of high salinities (Ref. 28899).  Young and adults move up rivers, as much as 120 km (Ref. 27547).  Benthic (Ref. 58426).  Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes (Ref. 6885).",3.917050691,1.612903226,10.36866359,0,28.80184332,0.230414747,0,0.69124424,0,14.51612903,39.63133641,0.230414747,0,0,found in freshwater
Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,Pleuronectes quadrituberculatus,bathydemersal,6,475,62,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,soft bottoms,benthic,-1.7,12,,,,,,521000,37,,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Love 2011",Adults feed mainly on polychaetes and amphipods (Ref. 27301).,These benthivores are adapted for extracting polychaetes from the sediment (Ref. 27301).,0.209371165,0.808605877,20.72052559,0.267128727,56.65294925,0.43318172,0,1.812143528,0,5.16208216,13.62356509,0.267128727,0.036098477,0.007219695,
Pleuronichthys decurrens,Pleuronectidae,Pleuronectiformes,Pleuronichthys decurrens,demersal,8,533,36,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,soft bottoms,benthic,,,,,found in estuaries,,,,10,,Love 2011,"Commonly found on soft bottom (Ref. 2850).  Feed on brittle stars and nudibranchs (Ref. 27436).  Minimal interest to anglers, usually an incidental catch (Ref. 27436).",Commonly found on soft bottom. Feeds on brittle stars and nudibranchs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Psettichthys melanostictus,Pleuronectidae,Pleuronectiformes,Psettichthys melanostictus,demersal,1,325,63,TL,hunting macrofauna (predator),,generalist,fishbase,benthic,terminal,rounded,sandy bottoms,benthic,,,,,,,,1400000,10,,Love 2011,"Inhabits sandy bottoms.  Feeds on fishes, worms, crustaceans and mollusks (Ref. 6885).",Feeds on fish and invertebrates (Ref. 6885).,70,20,10,0,0,0,0,0,0,0,0,0,0,0,
Reinhardtius hippoglossoides,Pleuronectidae,Pleuronectiformes,Reinhardtius hippoglossoides,benthopelagic,14,2000,130,TL,hunting macrofauna (predator),oceanodromous,generalist,fishbase,pelagic,terminal,truncate,soft bottoms,demersal,-0.5,10,,,,"Coad et al. 2018, USGS",,300000,30,solitary,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Often caught pelagically (Ref. 4705). Adults prefer bottom temperatures of -0.5¬?C to 6.0¬?C (Ref. 5951).  Epibenthic (Ref. 58426).  Feed on crustaceans, fishes (Ref. 4705, 6885), eelpouts, capelin, redfishes, deep sea prawns and other bottom invertebrates (Ref. 35388).  Batch spawner (Ref. 51846).  Utilized dried or salted and frozen; can be steamed and fried (Ref. 9988). Size of the Greenland halibut collected from 400-599 m deep in eastern Bering Sea, ranged from 9 to 99 cm FL with a mean of 56 cm (Ref. 55110).","Often caught pelagically (Ref. 4705).  Feeds on crustaceans (Ref. 4705, 6885), eelpouts, capelin, redfishes, deep sea prawns and other bottom invertebrates (Ref. 35388).  Food also includes Atlantic cod, polar cod, young Greenland halibut, roundnose grenadier, barracudinas, sand lance and cephalopods (Ref. 5951).  Greenland halibut <20 cm collected in the continental shelf <200 m deep, euphausiids were the important food.  Fish >70 cm had a higher daily ration value (1.17% of body weight per day)  than for two smaller size groups (0.66 and 0.64% of body weight per day for 30-49 and 50-69 size groups, respectively) (Ref. 55110).  It is preyed upon by Greenland shark, white whales, narwhals, hooded seals, cod and salmon.  Parasites of the species include 3 trematodes, <i>Brachyphallus crenatus</i>, <i>Derogenes varicus</i> and <i>Fellidostomum furcigerum</i>; and 1 nematode (Ref. 5951).",77.23163842,6.214689266,10.39548023,0.282485876,0.451977401,0,4.519774011,0.169491525,0,0.451977401,0.11299435,0.056497175,0.11299435,0,
Dasycottus setiger,Psychrolutidae,Scorpaeniformes,Dasycottus setiger,demersal,15,850,45,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,rounded,soft bottoms,benthic,-0.6,6.1,,,,Love 2011,,,11,,Blake et al. supp mat,Found on soft bottoms (Ref. 2850).,Found on soft bottoms (Ref. 2850).,12.5,33.33333333,37.5,0,3.125,0,0,0,0,1.041666667,12.5,0,0,0,
Malacocottus kincaidi,Psychrolutidae,Scorpaeniformes,Malacocottus kincaidi,bathydemersal,27,1025,10.6,TL,variable,,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,,,,,,,,,,,,Usually on soft bottoms (Ref. 2850).,NA,20,20,20,0,0,0,0,20,0,20,0,0,0,0,
Malacocottus zonurus,Psychrolutidae,Scorpaeniformes,Malacocottus zonurus,bathydemersal,95,1980,39,TL,NA,,invertivore,NOAA,,terminal,truncate,all,benthic,0,4.3,,,,Love 2011,,,12,,Blake et al. supp mat,NA,NA,4.245283019,9.905660377,33.49056604,0,31.60377358,0.471698113,1.886792453,8.962264151,0,8.490566038,0,0.943396226,0,0,
Psychrolutes paradoxus,Psychrolutidae,Scorpaeniformes,Psychrolutes paradoxus,demersal,9,240,6.5,TL,hunting macrofauna (predator),,generalist,,,terminal,rounded,soft bottoms,benthic,,,,,,,,,,,,Found on soft bottoms and possibly rocky bottoms (Ref. 2850).  Reported near shore (Ref. 2850).  Prefers low temperatures (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Psychrolutes phrictus,Psychrolutidae,Scorpaeniformes,Psychrolutes phrictus,bathydemersal,480,2800,70,TL,NA,,invertivore,fishbase,benthic,inferior,truncate,,benthic,,,,,,,,108125,,,Love 2011,"Occurs in very deep waters (Ref. 2850).  Feeds on sea pens, crabs and mollusks (Ref. 2850).",NA,0,27.27272727,0,0,18.18181818,0,9.090909091,0,27.27272727,0,18.18181818,0,0,0,
Coregonus laurettae,Salmonidae,Salmoniformes,Coregonus laurettae,pelagic-neritic,0,NA,48,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,benthic,terminal,forked,pelagic,pelagic,,,0,,,USGS,none,34166,13,schooling,USGS,Found near river mouths and brackish lagoons (Ref. 5723).  Makes extensive migrations related to spawning (Ref. 27547).  Feeds on invertebrates and cottids (Ref. 27547).  Apparently does not feed during its spawning runs (Ref. 27547). Some populations anadromous (Ref. 96339).,Found near river mouths and brackish lagoons (Ref. 5723).  Makes extensive migrations related to spawning (Ref. 27547).  Feeds on invertebrates and cottids (Ref. 27547).  Apparently does not feed during its spawning runs (Ref. 27547).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Oncorhynchus gorbuscha,Salmonidae,Salmoniformes,Oncorhynchus gorbuscha,demersal,0,250,76,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,3,15,0,,,USGS,,1900,3,,"Hart 1973,Coad et al. 2018","An anadromous species which inhabits ocean and coastal streams (Ref. 5723, 86798).  Epipelagic (Ref. 58426). Pelagic at the sea.  In freshwater, lives in Montane and Piedmont rivers with moderate to fast current and gravel bottom. Spawns in riffles or at head of riffles in shallow water with current up to 1.5 m/s, and clean coarse gravel (Ref. 59043).  Spends 18 months at sea after which spawning migration to the natal river or stream occurs; but because the species is less certain of its homing and there is a certain degree of wandering, streams as much as 640 km from natal streams may be used (Ref. 1998, 27547).  Upon emerging from the gravel, fry immediately move downstream and remain inshore for a few months before going out to sea.  Fry may feed on nymphal and larval insects while in fresh water, but may not feed at all.  In the sea, young feed on copepods and larvacean tunicates, its diet shifting to amphipods, euphausiids and fishes as the fish grows (Ref. 27547).  Other food include ostracods, decapod larvae, cirripeds, tunicates, dipterous insects (Ref. 1998, 27547).  Fry may be preyed upon by birds and mammals while adults by marine mammals and large fish (Ref. 1998).  Mostly sold canned (Ref. 1998) but also utilized fresh, smoked, and frozen; also valued for caviar, especially in Japan; eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).  The smallest of the true salmon (Ref. 12218).","Anadromous (Ref. 5951).  The young migrate seaward (Ref. 9043). Epipelagic (Ref. 58426).  Spends 18 months at sea after which spawning migration to the natal river or stream occurs; but because the species is less certain of its homing and there is a certain degree of wandering, streams as much as 640 km from natal streams may be used (Ref. 1998, 27547).  Upon emerging from the gravel, fry immediately move downstream and remain inshore for a few months before going out to sea (Ref. 27547).  Fry may feed on nymphal and larval insects while in fresh water, but may not feed at all.  In the sea, young feed on copepods and larvacean tunicates, its diet shifting to amphipods, euphausiids and fishes as the fish grows (Ref. 27547).  Other food include ostracods, decapod larvae, cirripeds, tunicates, dipterous insects and planktonic organisms (Ref. 1998, 13434, 27547).  Fry may be preyed upon by birds and mammals while adults by marine mammals and large fish (Ref. 1998).",9.090909091,45.45454545,45.45454545,0,0,0,0,0,0,0,0,0,0,0,
Oncorhynchus keta,Salmonidae,Salmoniformes,Oncorhynchus keta,benthopelagic,0,250,109,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,pelagic,terminal,emarginate,pelagic,pelagic,-0.8,22.5,0,27,,USGS,,7779,7,,"Hart 1973, Blake et al. supp mat, Coad et al. 2018","Inhabits ocean and coastal streams (Ref. 86798).  Migrating fry form schools in estuaries, remain close to  shore for a few months and finally disperse to enter the sea (Ref. 1998).  Epipelagic (Ref. 58426).  Juveniles and adults feed mainly on copepods, tunicates and euphausiids but also on pteropods, squid and small fishes (Ref. 1998).  Adults cease feeding in freshwater (Ref. 1998).  Males and females die after spawning.  The catch is mostly canned but also sold fresh, dried-salted, smoked, and frozen.  Eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).  Utilized for caviar.","Juveniles are typically euryphagous. They feed on planktonic and benthic organisms. Food spectrum narrows during migration from the river to the sea. Diet composition is determined by river conditions and by the hydrological conditions of the coastal region of the sea, particularly the water level in the river and the tide cycle, as well as illumination at night (Ref. 9027).",20.45454545,2.272727273,50,13.63636364,0,4.545454545,6.818181818,2.272727273,0,0,0,0,0,0,
Oncorhynchus kisutch,Salmonidae,Salmoniformes,Oncorhynchus kisutch,pelagic,0,250,108,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,pelagic,terminal,emarginate,pelagic,pelagic,5,16.2,0,,,USGS,,5000,5,,"Hart 1973, Beukhof et al. 2019","The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).  This kind is traded as fresh fish, dried or salted, smoked, canned, preserved and frozen (Ref. 9988).  They are steamed, grilled, broiled, cooked in the microwave and baked (Ref. 9988).","The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).",9.090909091,9.090909091,72.72727273,9.090909091,0,0,0,0,0,0,0,0,0,0,
