species,family,order,fishbase_name,column_pos,depth_min,depth_max,migration,length,length_type,diet,Comments,AddRems
Nannobrachium regale,Myctophidae,Myctophiformes,Lampanyctus regalis,bathypelagic,772,3400,NA,21,TL,selective plankton feeding,"Epipelagic to mesopelagic (Ref. 31442); minimum depth of occurrence is 500 m upon reaching about 5 cm length (54657).  Feed on euphausiids (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 31442).",Epipelagic to mesopelagic (Ref. 31442).  Feed on euphausiids (Ref. 6885).
Nannobrachium ritteri,Myctophidae,Myctophiformes,Lampanyctus ritteri,bathypelagic,20,1095,NA,12,SL,hunting macrofauna (predator),"Epipelagic to mesopelagic (Ref. 31442).  Adults feed on <i>Sagitta</i>, young fishes, copepods, and euphausiids (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 31442).  Lipid content is 14.2 % in fresh body weight and wax ester is 58% in total lipids (Ref. 9197).","Epipelagic to mesopelagic (Ref. 31442).  Depth range between 400 to 800 m during the day, and at night it is found as shallow as 75 m (Ref. 54154).  Adults feed on <i>Sagitta</i>, young fishes, copepods, and euphausiids (Ref. 6885).  Feeds on fish and plankton (Ref. 6885)."
Notoscopelus resplendens,Myctophidae,Myctophiformes,Notoscopelus resplendens,bathypelagic,777,2121,oceanodromous,9.5,SL,selective plankton feeding,"High-oceanic, epipelagic to mesopelagic (Ref. 31442).  Bathypelagic (Ref. 58302).  Nyctoepipelagic at the surface and down to 300 m and found between 651-2,000 m during the day (Ref. 4479).  Oviparous, with planktonic eggs and larvae (Ref. 31442).","High-oceanic, epipelagic to mesopelagic (Ref. 31442).  Nyctoepipelagic at the surface and down to 300 m and found between 651-2,000 m during the day (Ref. 4479)."
Protomyctophum crockeri,Myctophidae,Myctophiformes,Protomyctophum crockeri,pelagic-oceanic,100,500,NA,3.700000047683716,SL,NA,"Epipelagic to mesopelagic (Ref. 31442).  Oviparous, with planktonic eggs and larvae (Ref. 31442).",NA
Protomyctophum thompsoni,Myctophidae,Myctophiformes,Protomyctophum thompsoni,bathypelagic,785,1500,NA,5.199999809265137,SL,NA,"Epipelagic to mesopelagic (Ref. 31442).  Oviparous, with planktonic eggs and larvae (Ref. 31442).",NA
Stenobrachius leucopsarus,Myctophidae,Myctophiformes,Stenobrachius leucopsarus,bathypelagic,31,3400,NA,13,TL,hunting macrofauna (predator),"Epipelagic to mesopelagic (Ref. 31442).  Adults move upward in large numbers at night (Ref. 28499).  Feed on fishes, copepods and euphausiids (Ref. 11712).  Oviparous, with planktonic eggs and larvae (Ref. 31442).  Lipid content is 15.6 % in fresh body weight and wax ester is 90.9 % in total lipids (Ref. 9197). Minimum depth from Ref. 82347.","Epipelagic to mesopelagic (Ref. 31442).  Adults move upward in large numbers at night (Ref. 28499).  Feed on fishes, copepods and euphausiids (Ref. 11712);  other benthic and planktonic organisms (Ref. 28107)."
Stenobrachius nannochir,Myctophidae,Myctophiformes,Stenobrachius nannochir,bathypelagic,441,3400,NA,11,SL,selective plankton feeding,Mesopelagic species (Ref. 559).,NA
Symbolophorus californiensis,Myctophidae,Myctophiformes,Symbolophorus californiensis,pelagic-oceanic,557,1497,NA,11,SL,selective plankton feeding,"Epipelagic to mesopelagic, at surface at night (Ref. 31442).  Adults feed on small crustaceans (Ref. 11712).  Oviparous, with planktonic eggs and larvae (Ref. 31442).  Lipid content is 4.3 % in fresh body weight, while wax ester is present in trace amounts (Ref. 9197).  Preyed upon by fishes, cephalopods, birds and marine mammals.  Easily attracted to a light suspended above the water at night and many are captured in dipnets (Ref. 4525).",NA
Tarletonbeania crenularis,Myctophidae,Myctophiformes,Tarletonbeania crenularis,bathypelagic,0,710,NA,12.699999809265137,TL,selective plankton feeding,"Epipelagic to mesopelagic, found at the surface at night (Ref. 31442).  Feed on euphausiids (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 31442).  Lipid content is 2.1 % in fresh body weight and wax ester is, at the most, 5 % in total lipids (Ref. 9197).",NA
Avocettina infans,Nemichthyidae,Anguilliformes,Avocettina infans,bathypelagic,785,4580,NA,80,TL,NA,"Meso- and bathypelagic (Ref. 58302).  Feed on crustaceans (Ref. 3247).  Oviparous, with planktonic leptocephali (Ref. 32364).  Degenerative changes in males and females suggest semelparity (Ref. 32364).  Minimum depth from Ref. 58018.",NA
Nemichthys larseni,Nemichthyidae,Anguilliformes,Nemichthys larseni,bathypelagic,170,1280,NA,160.6999969482422,TL,NA,Mesopelagic (Ref. 58302).  Minimum depth from Ref. 58018.,NA
Nemichthys scolopaceus,Nemichthyidae,Anguilliformes,Nemichthys scolopaceus,bathypelagic,100,4337,NA,130,TL,selective plankton feeding,"Occur in midwater, usually below 400 m and occasionally in shallow water in the northern part of its range.  Feed on crustaceans while swimming with its mouth open (Ref. 5377).  Mesopelagic (Ref. 58302) and bathypelagic (Ref. 58426).  Oviparous, with planktonic leptocephali (Ref. 32364).  Degenerative changes in males and females suggest semelparity (Ref. 32364).  Minimum depth from Ref. 58302.","Occur in midwater, usually below 400 m and occasionally in shallow water in the northern part of its range.  Feed on crustaceans while swimming with its mouth open (Ref. 5377)."
Neoscopelus macrolepidotus,Neoscopelidae,Myctophiformes,Neoscopelus macrolepidotus,bathypelagic,300,1180,non-migratory,25,SL,hunting macrofauna (predator),Found over continental and island slopes.  No evidence of vertical migrations (Ref. 6690).  Benthopelagic (Ref. 58302).,Found over continental and island slopes.  No evidence of vertical migrations (Ref. 6690).
Scopelengys tristis,Neoscopelidae,Myctophiformes,Scopelengys tristis,bathypelagic,400,1830,oceanodromous,20,SL,selective plankton feeding,"High-oceanic and bathypelagic (Ref. 6604).  Adults usually found below about 1,000 m, but juveniles found between 500-800 m.  No evidence of vertical migration (Ref. 6604).  Feed mainly on small crustaceans.  Sexually mature from about 15.2 cm (Ref. 4525).  Oviparous, with planktonic larvae (Ref. 36062).",NA
Facciolella gilbertii,Nettastomatidae,Anguilliformes,Facciolella gilbertii,benthopelagic,NA,935,NA,61,TL,selective plankton feeding,"Inhabit scattering layers to depths of several thousand feet.  Known to eat small, deep-sea crustaceans.  Also captured mostly in bottom trawls (Ref. 4525).  Oviparous (Ref. 35597).  Planktonic leptocephali (Ref. 35597).",NA
Notacanthus chemnitzii,Notacanthidae,Albuliformes,Notacanthus chemnitzii,benthopelagic,125,3285,NA,120,TL,hunting macrofauna (predator),"Benthopelagic (Ref. 58302) and epibenthic (Ref. 58426).  Not uncommon in depths around 180 m off Iceland and Greenland.  Individuals with nearly ripe eggs have been found in late autumn off Iceland.  Mostly found at depths well below 200 m, but enters slightly shallower water on Grand Banks in Canada (Ref. 7251).  Feeds primarily on sea anemones (Ref. 4449).","Found on the continental slope (Ref. 75154).  Not uncommon in depths around 180 m off Iceland and Greenland.  Individuals with nearly ripe eggs have been found in late autumn off Iceland.  Mostly found at depths well below 200 m, but enters slightly shallower water on Grand Banks in Canada.  Feed primarily on sea anemones."
Polyacanthonotus challengeri,Notacanthidae,Albuliformes,Polyacanthonotus challengeri,bathypelagic,777,4560,NA,60,TL,NA,"Feeds on benthic invertebrates, especially amphipods, polychaetes and mysids (Ref. 6728).",NA
Scopelosaurus adleri,Notosudidae,Aulopiformes,Scopelosaurus adleri,bathypelagic,102,1440,NA,31,SL,hunting macrofauna (predator),"Individuals of 20-22 cm SL, feeds on various types of plankton, almost exclusively deep-sea copepods of <i>Pareuchaeta</i>.  Larger specimens also feed on squid, shrimp, and fish (Ref. 35945).","Individuals of 20-22 cm SL, feeds on various types of plankton, almost exclusively deep-sea copepods of <i>Pareuchaeta</i>.  Larger specimens also feed on squid, shrimp, and fish (Ref. 35945)."
Scopelosaurus harryi,Notosudidae,Aulopiformes,Scopelosaurus harryi,bathypelagic,0,1500,NA,32,SL,selective plankton feeding,"Larger individuals apparently occur in deeper water than small ones (Ref. 4525).  Synchronous hermaphrodites (Ref. 35934).  Oviparous, with planktonic larvae (Ref. 35934).  Juveniles makes nocturnal vertical migrations to the epipelagic zone (Ref. 43939).  A planktivorous fish feeding mainly copepods and euphausiids (Ref. 35945).",Mesopelagic fish and feeds mainly on copepods and euphausiids.
Bertella idiomorpha,Oneirodidae,Lophiiformes,Bertella idiomorpha,bathydemersal,805,3475,NA,10.199999809265137,SL,NA,Also caught with plankton nets.,NA
Chaenophryne draco,Oneirodidae,Lophiiformes,Chaenophryne draco,bathypelagic,350,1750,NA,12.300000190734863,SL,NA,"Meso- (Ref. 10524) and bathypelagic (Ref. 58302).  Males dwarfed, non-parasitic (Ref. 10524). Specimen examined was 9.7 cm SL from Auckland Institute and Museum (AIM 6609) (Ref. 58502).","Meso- (Ref. 10524) and bathypelagic (Ref. 58302).  Males dwarfed, non-parasitic (Ref. 10524). Specimen examined was 9.7 cm SL from Auckland Institute and Museum (AIM 6609) (Ref. 58502)."
Chaenophryne longiceps,Oneirodidae,Lophiiformes,Chaenophryne longiceps,bathypelagic,500,1000,NA,24.5,SL,hunting macrofauna (predator),"Bathypelagic (Ref. 58426).  Also mesopelagic.  Males dwarfed, non-parasitic (Ref. 10524).  Feeds on fishes, cephalopods and crustaceans (Ref. 58426).","Bathypelagic (Ref. 58426).  Also mesopelagic.  Males dwarfed, non-parasitic (Ref. 10524).  Feeds on fishes, cephalopods and crustaceans (Ref. 58426)."
Chaenophryne melanorhabdus,Oneirodidae,Lophiiformes,Chaenophryne melanorhabdus,bathypelagic,NA,1250,NA,10.199999809265137,SL,NA,NA,NA
Oneirodes acanthias,Oneirodidae,Lophiiformes,Oneirodes acanthias,bathypelagic,0,1750,NA,20,TL,selective plankton feeding,Feeds heavily on crustaceans (Ref. 4525).  Males are not parasitic on females (Ref. 6885).,NA
Oneirodes bulbosus,Oneirodidae,Lophiiformes,Oneirodes bulbosus,bathypelagic,200,2000,NA,23,TL,hunting macrofauna (predator),NA,NA
Oneirodes thompsoni,Oneirodidae,Lophiiformes,Oneirodes thompsoni,bathypelagic,100,2014,NA,21,TL,hunting macrofauna (predator),Minimum depth from Ref. 58018.,NA
Bassozetus zenkevitchi,Ophidiidae,Ophidiiformes,Bassozetus zenkevitchi,bathypelagic,0,6930,NA,26.299999237060547,SL,NA,"Rare, deep pelagic species (Ref. 34024).  Benthopelagic (Ref. 58302).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).  Of the 5 female specimens caught, 2 with 0.5 mm eggs.  No identifiable stomach contents were found.  Specimen collection used non-closing, pelagic fishing gear (bottom trawls) (Ref. 84269).   Minimum depth from Ref. 58018.",NA
Dicrolene filamentosa,Ophidiidae,Ophidiiformes,Dicrolene filamentosa,bathydemersal,935,1867,NA,44,TL,NA,"Rare species (Ref. 34024).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).",NA
Lamprogrammus niger,Ophidiidae,Ophidiiformes,Lamprogrammus niger,bathypelagic,741,2000,NA,61,SL,NA,"Small specimens caught in midwater trawls (Ref. 34024).  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).",NA
Bathylychnops exilis,Opisthoproctidae,Argentiformes,Bathylychnops exilis,pelagic-oceanic,400,800,oceanodromous,58,SL,NA,Oceanic.  Eggs and larvae are pelagic (Ref. 6885).  Oviparous (Ref. 35626). Bathypelagic at about 400-800 m (Ref. 96339).  Minimum depth from Ref. 58018.,NA
Dolichopteryx longipes,Opisthoproctidae,Argentiformes,Dolichopteryx longipes,bathypelagic,500,2400,oceanodromous,18,SL,selective plankton feeding,"Oceanic and mesopelagic species (Ref. 6686).  Taken regularly at depths shallower than 458 m, with scientific deep-sea fishing gear.  Feed mainly on small crustaceans, particularly copepods (Ref. 4525).  Oviparous, with planktonic larvae (Ref. 35626) and eggs (Ref. 6686).  Paedomorphic (Ref. 35626).",NA
Macropinna microstoma,Opisthoproctidae,Argentiformes,Macropinna microstoma,bathypelagic,16,1267,NA,15,TL,NA,"A solitary fish, occurring at lower mesopelagic depths beneath temperate and subarctic waters.  Caught by midwater trawl nets in areas with bottom depths of 1600-3600 m.  Stomach contents include cnidarian remains, however, its visceral anatomy suggests diets of mixed zooplankton, including both gelatinous and crustacean prey and siphonophore tentacles and nematocysts (Ref. 87379).  Uncommon species (Ref. 6885).  Oviparous, with planktonic larvae (Ref. 35626).  A photo of a 15 cm long fish shown at http://www.newscientist.com/gallery/new-species/9.","A solitary fish, occurring at lower mesopelagic depths beneath temperate and subarctic waters.  Specimens collected by midwater trawl nets where bottom depth ranbe from 1600-3600 m  (Ref. 87379)."
Allocyttus folletti,Oreosomatidae,Zeiformes,Allocyttus folletti,bathydemersal,366,732,oceanodromous,42,TL,NA,Young oceanic; adults near bottom (Ref. 2850).,NA
Allosmerus elongatus,Osmeridae,Osmeriformes,Allosmerus elongatus,demersal,1,103,non-migratory,22.899999618530273,TL,NA,Occurs in coastal waters (Ref. 2850).  Abundant in bays (Ref. 2850).  Forms schools (Ref. 2850).  Important food for larger fishes (Ref. 2850).  Spawns in subtidal banks (Ref. 2850).,NA
Hypomesus olidus,Osmeridae,Osmeriformes,Hypomesus olidus,pelagic-neritic,10,NA,anadromous,20,TL,selective plankton feeding,"Inhabits brackish water of estuaries, lagoons, coastal waters of open sea, freshwater of lowland and piedmont rivers and lakes (Ref. 59043). Found in the middle and surface waters of ponds, lakes, and streams over a variety of bottom types (Ref. 5723, 86798).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  The anadromous populations are pelagic at the sea, commonly at 4-5 m depth and spawn in rivers.  Landlocked populations may spawn in lakes or undertake migration to their tributaries.  Spawns along shallow river shores and in backwaters with little or no current, often in lakes, on sand or gravel bottom (Ref. 59043).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Only a few survive beyond age 3 (Ref. 27547).","Found in middle and surface water of ponds, lakes and streams, over a variety of bottom types (Ref. 5723).  Enters brackish water (Ref. 5723).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Also consumes large quantities of benthos. Smelt diet changes with the season and diet varies with respect to current velocity, depth, temperature, salinity, sediment load, etc. (Ref. 9010)."
Hypomesus pretiosus,Osmeridae,Osmeriformes,Hypomesus pretiosus,benthopelagic,NA,NA,NA,30.5,TL,hunting macrofauna (predator),"Individuals 3.5 cm may ascend rivers, presumably returning to the sea shortly after (Ref. 27547).  Presumably young move offshore and reappear inshore as mature adults (Ref. 27547).  At sea, they feed on small crustaceans, worms and jellyfish, as well as larval fishes (Ref. 6885, 10276).  Females reach age 3, males age 2 (Ref. 27547).  Oviparous, with demersal eggs and planktonic larvae (Ref. 35792).  Eggs are laid on beaches with heavy surf action (Ref. 33312).","Individuals 3.5 cm may ascend rivers, presumably returning to the sea shortly after (Ref. 27547).  Presumably young move offshore and reappear inshore as mature adults (Ref. 27547).  At sea, they feed on small crustaceans, worms and jellyfish, as well as larval fishes (Ref. 6885, 10276).  Feeds on fish, benthic animals and zooplankton (Ref. 6885)."
Mallotus villosus,Osmeridae,Osmeriformes,Mallotus villosus,pelagic-oceanic,0,725,anadromous,20,TL,selective plankton feeding,"Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426); however, reported at 1086 m Davis Strait to southern Baffin Bay (Ref. 120413). Adults feed on planktonic crustaceans, copepods, euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).  Mature individuals move inshore in large schools to spawn (Ref. 2850).  In the spring large spawning shoals migrate toward the coasts, males usually arrive first.  Often entering brackish and freshwater (Ref. 37812).  Semelparous (Ref. 51846).  Produces 6,000-12,000 adhesive eggs.  Females are valued for their roe, males are utilized as fishmeal.  Marketed canned and frozen; eaten fried  and dried (Ref. 9988).  Possibly to 725 m depth (Ref. 6793).","Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426).  Feeds on planktonic crustaceans, copepods (especially <i>Calanus</i> (Ref. 5951)), euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).   Fish examined were non-spawning adults (Ref. 6885).  It is preyed upon by other fishes, birds and marine mammals; <i>Gadus morhua</i> (Atlantic cod) as their chief predator.  Parasites of the species include <i>Eubothrium parvum</i> (cestode), <i>Anisakis</i> sp. And <i>Contracaecum</i> sp. (nematodes) and <i>Glugea</i> sp. (protozoan) (Ref. 5951)."
Osmerus mordax,Osmeridae,Osmeriformes,Osmerus mordax,pelagic-oceanic,0,425,anadromous,35.599998474121094,TL,hunting macrofauna (predator),"Nerito-pelagic (Ref. 58426).  Inhabits cool clear lakes, medium to large rivers, and coastal waters (Ref. 86798).  A schooling species that occurs in midwater of lakes or inshore coastal waters (Ref. 1998); at temperatures ranging from 7.2-15.6°C.  Coastal population are anadromous (Ref, 86798).  Migrates up to 1,000 km upstream in rivers (Ref. 6793).  Occurs possibly to 425 m (Ref. 2851).  Feeds on invertebrates such as amphipods, ostracods, aquatic insect larvae and aquatic worms (Ref. 1998); food also include copepods, euphausiids, mysids and small fishes (silversides, mummichogs and herring) (Ref. 5951, 10294).  Headed, gutted, sold fresh, frozen and precooked.  Eaten sautéed and fried (Ref. 9988).","Sensitive to temperature and light. Do not inhabit flowing waters of streams and rivers except at spawning time. Exhibit pronounced post-spawning mortality (Ref. 1998).  Anadromous (Ref. 5951).  It is preyed upon by mergansers, cormorants, gulls, crows, Atlantic cod, Atlantic salmon, brook trout, seals, lake trout, burbot, walleye and perch."
Spirinchus starksi,Osmeridae,Osmeriformes,Spirinchus starksi,benthopelagic,NA,128,NA,23,TL,NA,Feeds on small shrimp-like crustaceans (Ref. 4563).  Caught during the spawning season (Ref. 2850).,NA
Spirinchus thaleichthys,Osmeridae,Osmeriformes,Spirinchus thaleichthys,benthopelagic,NA,137,anadromous,20,TL,hunting macrofauna (predator),"Found close to shore, in bays and estuaries and ascends coastal streams to spawn (Ref. 5723).  There are landlocked populations (Ref. 5723) but these do not reach as great a size as sea-run fish (Ref. 27547).  Anadromous (Ref. 96339). Individuals found in brackish and salt water feed on small crustaceans (Ref. 1998).  Fish from the sea are reported to have good flavor, but supply is limited (Ref. 6885).  Often abundant during the spawning run, but flesh reported to be soft and oily, easily spoiling (Ref. 1998).","Found close to shore, in bays and estuaries and ascends coastal streams to spawn (Ref. 5723).  There are landlocked populations (Ref. 5723) but these do not reach as great a size as sea-run fish (Ref. 27547).  Individuals found in brackish and salt water feed on small crustaceans (Ref. 1998)."
Thaleichthys pacificus,Osmeridae,Osmeriformes,Thaleichthys pacificus,pelagic-neritic,0,300,anadromous,34,TL,filtering plankton,"Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Excellent food fish and source of oil (15% body wt.). Anadromous (Ref. 96339).","Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Ecotoxicology of this species has been studied by various authors indicating that it is a potential integrator of low-level contaminants (Ref. 7355 & 7469)."
Anotopterus nikparini,Paralepididae,Aulopiformes,Anotopterus nikparini,bathypelagic,0,2750,NA,146,TL,hunting macrofauna (predator),"Found in a wide range of depths, sometimes near surface (Ref. 2850) to below 2,000 m.  Larger adults inhabit colder water toward the poles, whereas, the young and smaller adults inhabit more temperate regions (Ref. 35956).  Feed on mollusks, crustaceans, marine worms, coelenterates, salps, and fishes (Ref. 4525, 6885).  Its distensible body wall and large stomach can accommodate prey up to half of its own length.  Oviparous, with planktonic larvae (Ref. 35956).  Preyed upon by albacore, Pacific lancetfish, halibut, steelhead salmon, blue shark, pomfret, and whales (Ref. 6885).","Found in a wide range of depths, sometimes near surface (Ref. 2850) to below 2,000 m. Larger adults inhabit colder water toward the poles, whereas, the young and smaller adults inhabit more temperate regions (Ref. 35956). Feed on mollusks, crustaceans, marine worms, coelenterates, salps, and fishes (Ref. 4525, 6885).  Its distensible body wall and large stomach can accommodate prey up to half of its own length. Preyed upon by albacore, Pacific lancetfish, halibut, steelhead salmon, blue shark, pomfret, and whales (Ref. 6885)."
Arctozenus risso,Paralepididae,Aulopiformes,Arctozenus risso,bathypelagic,0,2200,NA,30,SL,hunting macrofauna (predator),"Pseudoceanic and mesopelagic, occurring singly or in small schools (Ref. 5759), primarily at 200-1000 (Ref. 58302).  Feed mainly on fishes and shrimps (Ref. 5759).  Spawn in continental slopes and in oceanic banks from northern through tropical to southern temperate waters.  Oviparous, with planktonic larvae (Ref. 35950).","Pseudoceanic and mesopelagic, occurring singly or in small schools (Ref. 5759), primarily at 200-1000 (Ref. 58302).  Feed mainly on fishes and shrimps (Ref. 5759).  Spawn in continental slopes and in oceanic banks from northern through tropical to southern temperate waters (Ref. 41668).  It is preyed upon by Atlantic cod, Greenland cod, pollock, redfish and seals (Ref. 5951)."
Lestidiops ringens,Paralepididae,Aulopiformes,Lestidiops ringens,bathypelagic,0,3290,NA,21,TL,hunting macrofauna (predator),"Occur from near surface to bathypelagic depths.  Feed mainly on small fishes but also takes small crustaceans and cephalopods (Ref. 6885).  Predators include albacore, salmon, swordfish and lancetfish (Ref. 4525).  Oviparous, with planktonic larvae (Ref. 35950).",NA
Magnisudis atlantica,Paralepididae,Aulopiformes,Magnisudis atlantica,pelagic-oceanic,0,4750,oceanodromous,56,SL,hunting macrofauna (predator),"Oceanic species of medium depth range.  Large adults approach the coasts in temperate and polar zones (Ref. 35950).  Meso- and bathypelagic (Ref. 58302).  Spawns throughout the year in tropical and subtropical seas (Ref. 35388).  Seems to spawn in the Sargasso Sea.  Feed on small fishes and shrimps.  Preyed upon by sharks, tuna, and whales.","Oceanic species of medium depth range. Large adults approach the coasts in temperate and polar zones. Seems to spawn in the Sargasso Sea. Feed on small fishes and shrimps. Preyed upon by sharks, tuna, and whales."
Citharichthys sordidus,Paralichthyidae,Pleuronectiformes,Citharichthys sordidus,demersal,0,549,NA,41,TL,hunting macrofauna (predator),Found on sand bottoms (Ref. 2850).  Young may occur at depth less than 9 m (Ref. 2850).,NA
Citharichthys stigmaeus,Paralichthyidae,Pleuronectiformes,Citharichthys stigmaeus,demersal,NA,549,NA,17,TL,hunting macrofauna (predator),"Found on sandy bottom, from near shore to 366 m (Ref. 2850).  Little commercial importance because of its small size (Ref. 2850).",NA
Citharichthys xanthostigma,Paralichthyidae,Pleuronectiformes,Citharichthys xanthostigma,demersal,2,201,NA,25,TL,NA,Inhabits sandy or sandy-muddy bottom (Ref. 9750).  Utilized fresh.,NA
Hippoglossina stomata,Paralichthyidae,Pleuronectiformes,Hippoglossina stomata,demersal,30,137,NA,40,TL,NA,Utilized fresh and is said to be an excellent foodfish.,NA
Paralichthys californicus,Paralichthyidae,Pleuronectiformes,Paralichthys californicus,demersal,0,183,oceanodromous,152,TL,hunting macrofauna (predator),"Adults are found mostly on sandy bottoms near shore to 183 m depth.  Juveniles are common beyond surf line, larvae settling in bays and estuaries (Ref. 122321).  Adults feed during the day (Ref. 9643) on fishes and squids, often well off the bottom.  An important sport and commercial fish.  They are caught with trammel nets (Ref. 9330).  Marketed as fresh fillet (Ref. 9330).  Adults migrate to shallower waters to spawn (Ref. 9643).  Has very sharp teeth and is known to bite if handled (Ref. 13513).","Lives mostly on sandy bottoms. Common beyond surf line, also in bays and estuaries. Occurs from near shore to 183 m depth. Feeds during the day on fishes and squids, often well off the bottom. Adults migrate to shallower waters to spawn (Ref. 9643)."
Xystreurys liolepis,Paralichthyidae,Pleuronectiformes,Xystreurys liolepis,demersal,5,79,NA,63.5,TL,hunting macrofauna (predator),"Inhabits muddy and sandy bottoms,  from 4.6-79 m depth.  Usually buried in bottoms.  Feeds almost exclusively on crustaceans.  Marketed fresh (Ref. 9330).","Inhabits muddy and sandy bottoms,  from 4.6-79 m depth. Usually buried in bottoms. Feeds almost exclusively on crustaceans."
Pseudopentaceros wheeleri,Pentacerotidae,Perciformes,Pentaceros wheeleri,benthopelagic,146,800,NA,44,TL,hunting macrofauna (predator),"Juveniles epipelagic, adults benthopelagic (Ref. 58302).","Possess an unusual life history that includes an extended epipelagic subadult phase and a benthic adult period. The benthic population resides and spawns on the southern Emperor and northern Hawaiian Ridge seamounts in the central North Pacific Ocean. Young armorhead are either transported or undergo an active migration from the seamounts to the epipelagic waters of the subarctic and transitional Northeast Pacific and Gulf of Alaska where they reside for the next 1.5 to 2.5 years acquiring enormous fat reserves. After attaining a size of 26-33 cm fork length, armorhead return to the seamounts where they quickly assume benthic habits and begin maturation (Ref. 42124)."
Pholis laeta,Pholidae,Perciformes,Pholis laeta,demersal,0,73,NA,25,TL,hunting macrofauna (predator),"Frequently in intertidal areas, in tide pools or under rocks protected by seaweeds (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Probably feeds on small crustaceans and marine worms (Ref. 28499).  Breathes air when out of water (Ref. 31184).","Frequently in intertidal areas, in tidepools or under rocks protected by seaweeds (Ref. 2850). May remain out of water under rocks or seaweed (Ref. 31184). Probably feeds on small crustaceans and marine worms. Breathes air when out of water."
Holtbyrnia innesi,Platytroctidae,Argentiformes,Holtbyrnia innesi,bathypelagic,100,1500,NA,24,SL,NA,"Bathypelagic to benthopelagic, exceptionally as shallow as 100-120 m (Ref. 4461).  Mesopelagic (Ref. 58302).",NA
Maulisia argipalla,Platytroctidae,Argentiformes,Maulisia argipalla,bathypelagic,400,1620,NA,19.5,SL,NA,Meso- and benthopelagic at 850-1500 m (Ref. 58302).,NA
Maulisia mauli,Platytroctidae,Argentiformes,Maulisia mauli,bathypelagic,324,2100,NA,20,SL,NA,NA,NA
Mentodus eubranchus,Platytroctidae,Argentiformes,Mentodus eubranchus,bathypelagic,NA,1000,NA,11.399999618530272,SL,NA,Bathypelagic below 1000 m (Ref. 58302).,NA
Mirorictus taningi,Platytroctidae,Argentiformes,Mirorictus taningi,bathydemersal,NA,1750,NA,13.699999809265137,TL,NA,NA,NA
Sagamichthys abei,Platytroctidae,Argentiformes,Sagamichthys abei,bathypelagic,37,1500,NA,33,TL,NA,"Mesopelagic at 300-900 m (Ref. 58302).  Young migrate in association with <i>Cyclothone signata</i> to within 200 m of the surface at night and feed extensively on small crustaceans (Ref. 4525).  Oviparous, with large mesopelagic larvae (Ref. 35760).",NA
Atheresthes evermanni,Pleuronectidae,Pleuronectiformes,Atheresthes evermanni,demersal,20,1200,NA,100,SL,hunting macrofauna (predator),NA,NA
Atheresthes stomias,Pleuronectidae,Pleuronectiformes,Atheresthes stomias,demersal,18,950,NA,84,TL,hunting macrofauna (predator),Adults are found on soft bottoms (Ref. 2850).  Feed on crustaceans and fishes (Ref. 6885).  Not marketed as human food (Ref. 2850).,Found on soft bottoms (Ref. 2850).  Feeds on crustaceans and fishes (Ref. 6885).
Clidoderma asperrimum,Pleuronectidae,Pleuronectiformes,Clidoderma asperrimum,demersal,15,1900,NA,62,TL,NA,"Occurs on mud and sand bottoms (Ref. 9137, 11230).","Occurs on mud and sand bottoms (Ref. 9137, 11230)."
Embassichthys bathybius,Pleuronectidae,Pleuronectiformes,Embassichthys bathybius,bathydemersal,41,1800,NA,47,TL,NA,Found on mud bottoms (Ref. 2850).,NA
