species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Allocyttus folletti,Oreosomatidae,Zeiformes,Allocyttus folletti,bathydemersal,366,732,oceanodromous,42,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,demersal,NA,Young oceanic; adults near bottom (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Allosmerus elongatus,Osmeridae,Osmeriformes,Allosmerus elongatus,demersal,1,103,non-migratory,22.89999962,TL,NA,NA,NA,NA,NA,terminal,forked,pelagic,pelagic,NA,Occurs in coastal waters (Ref. 2850).  Abundant in bays (Ref. 2850).  Forms schools (Ref. 2850).  Important food for larger fishes (Ref. 2850).  Spawns in subtidal banks (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hypomesus olidus,Osmeridae,Osmeriformes,Hypomesus olidus,NA,10,29,anadromous,20,TL,selective plankton feeding,NA,planktivore,fishbase,variable,terminal,forked,pelagic,pelagic,"Found in middle and surface water of ponds, lakes and streams, over a variety of bottom types (Ref. 5723).  Enters brackish water (Ref. 5723).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Also consumes large quantities of benthos. Smelt diet changes with the season and diet varies with respect to current velocity, depth, temperature, salinity, sediment load, etc. (Ref. 9010).","Inhabits brackish water of estuaries, lagoons, coastal waters of open sea, freshwater of lowland and piedmont rivers and lakes (Ref. 59043). Found in the middle and surface waters of ponds, lakes, and streams over a variety of bottom types (Ref. 5723, 86798).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  The anadromous populations are pelagic at the sea, commonly at 4-5 m depth and spawn in rivers.  Landlocked populations may spawn in lakes or undertake migration to their tributaries.  Spawns along shallow river shores and in backwaters with little or no current, often in lakes, on sand or gravel bottom (Ref. 59043).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Only a few survive beyond age 3 (Ref. 27547).",NA,17,0,NA,NA,USGS,NA,33010,6,schooling,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hypomesus pretiosus,Osmeridae,Osmeriformes,Hypomesus pretiosus,benthopelagic,NA,NA,NA,30.5,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Individuals 3.5 cm may ascend rivers, presumably returning to the sea shortly after (Ref. 27547).  Presumably young move offshore and reappear inshore as mature adults (Ref. 27547).  At sea, they feed on small crustaceans, worms and jellyfish, as well as larval fishes (Ref. 6885, 10276).  Feeds on fish, benthic animals and zooplankton (Ref. 6885).","Individuals 3.5 cm may ascend rivers, presumably returning to the sea shortly after (Ref. 27547).  Presumably young move offshore and reappear inshore as mature adults (Ref. 27547).  At sea, they feed on small crustaceans, worms and jellyfish, as well as larval fishes (Ref. 6885, 10276).  Females reach age 3, males age 2 (Ref. 27547).  Oviparous, with demersal eggs and planktonic larvae (Ref. 35792).  Eggs are laid on beaches with heavy surf action (Ref. 33312).",NA,NA,NA,NA,NA,NA,non-guarder,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Mallotus villosus,Osmeridae,Osmeriformes,Mallotus villosus,NA,0,200,"anadromous, diel",25.2,TL,selective plankton feeding,planktivorous,planktivore,NOAA,pelagic,terminal,forked,pelagic,pelagic,"Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426).  Feeds on planktonic crustaceans, copepods (especially <i>Calanus</i> (Ref. 5951)), euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).   Fish examined were non-spawning adults (Ref. 6885).  It is preyed upon by other fishes, birds and marine mammals; <i>Gadus morhua</i> (Atlantic cod) as their chief predator.  Parasites of the species include <i>Eubothrium parvum</i> (cestode), <i>Anisakis</i> sp. And <i>Contracaecum</i> sp. (nematodes) and <i>Glugea</i> sp. (protozoan) (Ref. 5951).","Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426); however, reported at 1086 m Davis Strait to southern Baffin Bay (Ref. 120413). Adults feed on planktonic crustaceans, copepods, euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).  Mature individuals move inshore in large schools to spawn (Ref. 2850).  In the spring large spawning shoals migrate toward the coasts, males usually arrive first.  Often entering brackish and freshwater (Ref. 37812).  Semelparous (Ref. 51846).  Produces 6,000-12,000 adhesive eggs.  Females are valued for their roe, males are utilized as fishmeal.  Marketed canned and frozen; eaten fried  and dried (Ref. 9988).  Possibly to 725 m depth (Ref. 6793).",-1,16,4,NA,NA,Coad et al. 2018,non-guarder,30042,10,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,0.460829493,0.460829493,94.93087558,0,3.686635945,0.460829493,0,0,0,0,0,0,0,0,TRUE
Osmerus mordax,Osmeridae,Osmeriformes,Osmerus mordax,NA,0,150,anadromous,35.6,TL,hunting macrofauna (predator),NA,generalist,NOAA,pelagic,terminal,forked,pelagic,pelagic,"Sensitive to temperature and light. Do not inhabit flowing waters of streams and rivers except at spawning time. Exhibit pronounced post-spawning mortality (Ref. 1998).  Anadromous (Ref. 5951).  It is preyed upon by mergansers, cormorants, gulls, crows, Atlantic cod, Atlantic salmon, brook trout, seals, lake trout, burbot, walleye and perch.","Nerito-pelagic (Ref. 58426).  Inhabits cool clear lakes, medium to large rivers, and coastal waters (Ref. 86798).  A schooling species that occurs in midwater of lakes or inshore coastal waters (Ref. 1998); at temperatures ranging from 7.2-15.6ª??C.  Coastal population are anadromous (Ref, 86798).  Migrates up to 1,000 km upstream in rivers (Ref. 6793).  Occurs possibly to 425 m (Ref. 2851).  Feeds on invertebrates such as amphipods, ostracods, aquatic insect larvae and aquatic worms (Ref. 1998); food also include copepods, euphausiids, mysids and small fishes (silversides, mummichogs and herring) (Ref. 5951, 10294).  Headed, gutted, sold fresh, frozen and precooked.  Eaten saut?ª?ed and fried (Ref. 9988).",-1.9,NA,NA,NA,NA,Coad et al. 2018,NA,NA,7,schooling,Beukhof et al. 2019,7.782101167,6.225680934,75.48638132,0,9.727626459,0,0,0,0,0,0.778210117,0,0,0,TRUE
Spirinchus starksi,Osmeridae,Osmeriformes,Spirinchus starksi,benthopelagic,NA,128,NA,23,TL,NA,benthivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,Feeds on small shrimp-like crustaceans (Ref. 4563).  Caught during the spawning season (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Spirinchus thaleichthys,Osmeridae,Osmeriformes,Spirinchus thaleichthys,benthopelagic,NA,137,anadromous,20,TL,hunting macrofauna (predator),generalist,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Found close to shore, in bays and estuaries and ascends coastal streams to spawn (Ref. 5723).  There are landlocked populations (Ref. 5723) but these do not reach as great a size as sea-run fish (Ref. 27547).  Individuals found in brackish and salt water feed on small crustaceans (Ref. 1998).","Found close to shore, in bays and estuaries and ascends coastal streams to spawn (Ref. 5723).  There are landlocked populations (Ref. 5723) but these do not reach as great a size as sea-run fish (Ref. 27547).  Anadromous (Ref. 96339). Individuals found in brackish and salt water feed on small crustaceans (Ref. 1998).  Fish from the sea are reported to have good flavor, but supply is limited (Ref. 6885).  Often abundant during the spawning run, but flesh reported to be soft and oily, easily spoiling (Ref. 1998).",NA,NA,NA,NA,NA,NA,non-guarder,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Thaleichthys pacificus,Osmeridae,Osmeriformes,Thaleichthys pacificus,NA,0,300,anadromous,25.4,TL,filtering plankton,planktivorous,planktivore,NOAA,pelagic,terminal,forked,pelagic,pelagic,"Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Ecotoxicology of this species has been studied by various authors indicating that it is a potential integrator of low-level contaminants (Ref. 7355 & 7469).","Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Excellent food fish and source of oil (15% body wt.). Anadromous (Ref. 96339).",NA,NA,NA,NA,NA,NA,non-guarder,40000,5,NA,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE
Anotopterus nikparini,Paralepididae,Aulopiformes,Anotopterus nikparini,bathypelagic,0,2750,NA,146,TL,hunting macrofauna (predator),piscivorous,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Found in a wide range of depths, sometimes near surface (Ref. 2850) to below 2,000 m. Larger adults inhabit colder water toward the poles, whereas, the young and smaller adults inhabit more temperate regions (Ref. 35956). Feed on mollusks, crustaceans, marine worms, coelenterates, salps, and fishes (Ref. 4525, 6885).  Its distensible body wall and large stomach can accommodate prey up to half of its own length. Preyed upon by albacore, Pacific lancetfish, halibut, steelhead salmon, blue shark, pomfret, and whales (Ref. 6885).","Found in a wide range of depths, sometimes near surface (Ref. 2850) to below 2,000 m.  Larger adults inhabit colder water toward the poles, whereas, the young and smaller adults inhabit more temperate regions (Ref. 35956).  Feed on mollusks, crustaceans, marine worms, coelenterates, salps, and fishes (Ref. 4525, 6885).  Its distensible body wall and large stomach can accommodate prey up to half of its own length.  Oviparous, with planktonic larvae (Ref. 35956).  Preyed upon by albacore, Pacific lancetfish, halibut, steelhead salmon, blue shark, pomfret, and whales (Ref. 6885).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Arctozenus risso,Paralepididae,Aulopiformes,Arctozenus risso,bathypelagic,0,2200,NA,30,SL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Pseudoceanic and mesopelagic, occurring singly or in small schools (Ref. 5759), primarily at 200-1000 (Ref. 58302).  Feed mainly on fishes and shrimps (Ref. 5759).  Spawn in continental slopes and in oceanic banks from northern through tropical to southern temperate waters (Ref. 41668).  It is preyed upon by Atlantic cod, Greenland cod, pollock, redfish and seals (Ref. 5951).","Pseudoceanic and mesopelagic, occurring singly or in small schools (Ref. 5759), primarily at 200-1000 (Ref. 58302).  Feed mainly on fishes and shrimps (Ref. 5759).  Spawn in continental slopes and in oceanic banks from northern through tropical to southern temperate waters.  Oviparous, with planktonic larvae (Ref. 35950).",NA,NA,NA,NA,NA,NA,non-guarder,100000,11,schooling,Mecks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Lestidiops ringens,Paralepididae,Aulopiformes,Lestidiops ringens,bathypelagic,0,3290,NA,21,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Occur from near surface to bathypelagic depths.  Feed mainly on small fishes but also takes small crustaceans and cephalopods (Ref. 6885).  Predators include albacore, salmon, swordfish and lancetfish (Ref. 4525).  Oviparous, with planktonic larvae (Ref. 35950).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Magnisudis atlantica,Paralepididae,Aulopiformes,Magnisudis atlantica,pelagic-oceanic,0,4750,oceanodromous,56,SL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Oceanic species of medium depth range. Large adults approach the coasts in temperate and polar zones. Seems to spawn in the Sargasso Sea. Feed on small fishes and shrimps. Preyed upon by sharks, tuna, and whales.","Oceanic species of medium depth range.  Large adults approach the coasts in temperate and polar zones (Ref. 35950).  Meso- and bathypelagic (Ref. 58302).  Spawns throughout the year in tropical and subtropical seas (Ref. 35388).  Seems to spawn in the Sargasso Sea.  Feed on small fishes and shrimps.  Preyed upon by sharks, tuna, and whales.",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Citharichthys sordidus,Paralichthyidae,Pleuronectiformes,Citharichthys sordidus,NA,0,549,NA,41,TL,hunting macrofauna (predator),NA,generalist,Beukhof et al. 2019,variable,terminal,truncate,sandy bottoms,benthic,NA,Found on sand bottoms (Ref. 2850).  Young may occur at depth less than 9 m (Ref. 2850).,5.3,13,NA,NA,NA,Love 2011,NA,NA,13,NA,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Citharichthys stigmaeus,Paralichthyidae,Pleuronectiformes,Citharichthys stigmaeus,demersal,NA,549,NA,17,TL,hunting macrofauna (predator),NA,NA,NA,NA,terminal,rounded,sandy bottoms,benthic,NA,"Found on sandy bottom, from near shore to 366 m (Ref. 2850).  Little commercial importance because of its small size (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paralichthys californicus,Paralichthyidae,Pleuronectiformes,Paralichthys californicus,demersal,0,183,oceanodromous,152,TL,hunting macrofauna (predator),NA,carnivore,fishbase,pelagic,terminal,emarginate,sandy bottoms,benthic,"Lives mostly on sandy bottoms. Common beyond surf line, also in bays and estuaries. Occurs from near shore to 183 m depth. Feeds during the day on fishes and squids, often well off the bottom. Adults migrate to shallower waters to spawn (Ref. 9643).","Adults are found mostly on sandy bottoms near shore to 183 m depth.  Juveniles are common beyond surf line, larvae settling in bays and estuaries (Ref. 122321).  Adults feed during the day (Ref. 9643) on fishes and squids, often well off the bottom.  An important sport and commercial fish.  They are caught with trammel nets (Ref. 9330).  Marketed as fresh fillet (Ref. 9330).  Adults migrate to shallower waters to spawn (Ref. 9643).  Has very sharp teeth and is known to bite if handled (Ref. 13513).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Pholis laeta,Pholidae,Perciformes,Pholis laeta,demersal,0,73,NA,25,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,rocky bottoms,benthic,"Frequently in intertidal areas, in tidepools or under rocks protected by seaweeds (Ref. 2850). May remain out of water under rocks or seaweed (Ref. 31184). Probably feeds on small crustaceans and marine worms. Breathes air when out of water.","Frequently in intertidal areas, in tide pools or under rocks protected by seaweeds (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Probably feeds on small crustaceans and marine worms (Ref. 28499).  Breathes air when out of water (Ref. 31184).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Holtbyrnia innesi,Platytroctidae,Argentiformes,Holtbyrnia innesi,bathypelagic,100,1500,NA,24,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,"Bathypelagic to benthopelagic, exceptionally as shallow as 100-120 m (Ref. 4461).  Mesopelagic (Ref. 58302).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Maulisia argipalla,Platytroctidae,Argentiformes,Maulisia argipalla,bathypelagic,400,1620,NA,19.5,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,Meso- and benthopelagic at 850-1500 m (Ref. 58302).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Mentodus eubranchus,Platytroctidae,Argentiformes,Mentodus eubranchus,bathypelagic,NA,1000,NA,11.39999962,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,Bathypelagic below 1000 m (Ref. 58302).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sagamichthys abei,Platytroctidae,Argentiformes,Sagamichthys abei,bathypelagic,37,1500,NA,33,TL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,"Mesopelagic at 300-900 m (Ref. 58302).  Young migrate in association with <i>Cyclothone signata</i> to within 200 m of the surface at night and feed extensively on small crustaceans (Ref. 4525).  Oviparous, with large mesopelagic larvae (Ref. 35760).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Atheresthes evermanni,Pleuronectidae,Pleuronectiformes,Atheresthes evermanni,NA,25,1200,NA,110,TL,hunting macrofauna (predator),generalist,generalist,NOAA,benthic,terminal,emarginate,soft bottoms,benthic,NA,NA,-1.3,10,NA,NA,NA,Love 2011,non-guarder,1386000,33,NA,"Beukhof et al. 2019, Love 2011",59.41226576,22.95570698,13.84156729,0.042589438,1.36286201,0.255536627,0.638841567,0.085178876,0,0.425894378,0.936967632,0,0.042589438,0,TRUE
Atheresthes stomias,Pleuronectidae,Pleuronectiformes,Atheresthes stomias,NA,12,900,NA,86,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,terminal,emarginate,soft bottoms,benthic,Found on soft bottoms (Ref. 2850).  Feeds on crustaceans and fishes (Ref. 6885).,Adults are found on soft bottoms (Ref. 2850).  Feed on crustaceans and fishes (Ref. 6885).  Not marketed as human food (Ref. 2850).,-1.5,12,NA,NA,NA,Love 2011,non-guarder,2339000,56,NA,Love 2011,50.51873894,16.49911533,29.61235323,0.056297249,1.596429146,0.136721892,0.884671063,0.056297249,0,0.237252694,0.30561364,0.064339714,0.028148625,0.004021232,TRUE
Clidoderma asperrimum,Pleuronectidae,Pleuronectiformes,Clidoderma asperrimum,demersal,15,1900,NA,62,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy mud bottoms,benthic,"Occurs on mud and sand bottoms (Ref. 9137, 11230).","Occurs on mud and sand bottoms (Ref. 9137, 11230).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Embassichthys bathybius,Pleuronectidae,Pleuronectiformes,Embassichthys bathybius,NA,320,1433,NA,52,TL,NA,benthivorous,invertivore,NOAA,benthic,terminal,rounded,mud bottoms,benthic,NA,Found on mud bottoms (Ref. 2850).,3.1,5.5,NA,NA,NA,Love 2011,non-guarder,NA,NA,NA,NA,0,6.666666667,26.66666667,0,46.66666667,0,6.666666667,0,0,6.666666667,0,6.666666667,0,0,TRUE
Eopsetta jordani,Pleuronectidae,Pleuronectiformes,Eopsetta jordani,NA,0,550,NA,70,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,terminal,truncate,sandy mud bottoms,benthic,Feeds on benthic invertebrates and demersal fish (Ref. 6885).,"Adults are found on sand bottom (Ref. 2850), usually in deep water (Ref. 9988).  Feed on invertebrates and bottom fishes (Ref. 6885).  Livers of large individuals are a rich source of vitamin A (Ref. 6885).  Marketed fresh or as frozen fillets (Ref. 2850).  Eaten steamed, fried, micro-waved and baked (Ref. 9988).  Generally regarded as the premium Pacific coast sole (Ref. 9988).",4.1,12.2,NA,NA,NA,Love 2011,non-guarder,1200000,35,NA,"Beukhof et al. 2019, Love 2011",26.66666667,66.66666667,0,0,0,0,0,6.666666667,0,0,0,0,0,0,TRUE
Glyptocephalus zachirus,Pleuronectidae,Pleuronectiformes,Glyptocephalus zachirus,NA,0,850,NA,61,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,sandy mud bottoms,benthic,NA,"A slow-growing species found on sand or mud bottoms (Ref. 2850).  Usually discarded by trawlers but sometimes processed into fertilizer (Ref. 27436).  Flesh considered tasty (Ref. 27436).  Utilized fresh and frozen; eaten steamed, fried, microwaved and baked (Ref. 9988).",-0.5,12.2,NA,NA,can live in brackish,Love 2011,non-guarder,238000,29,NA,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Love 2011",0.793126239,6.080634501,43.09319233,0.066093853,44.11764706,0.330469266,0.29742234,0.594844679,0,1.288830139,3.23859881,0.033046927,0.066093853,0,TRUE
Hippoglossoides elassodon,Pleuronectidae,Pleuronectiformes,Hippoglossoides elassodon,NA,0,1050,oceanodromous,56,TL,hunting macrofauna (predator),generalist,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,Feeds on fish and benthic organisms (Ref. 6885).,"Found on soft bottom (Ref. 2850).  Adults usually below 180 m (Ref. 2850).  Feed on clams, worms and crustaceans (Ref. 6885).  Taken by shrimp and otter trawls (Ref. 6885).",-2,12,NA,NA,NA,Love 2011,non-guarder,600000,27,NA,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,6.84443177,24.87523171,29.83744475,0.021388849,10.03849993,0.163981178,0.078425781,0.349351205,0,23.43504919,4.27064024,0.057036931,0.028518466,0,TRUE
Hippoglossoides robustus,Pleuronectidae,Pleuronectiformes,Hippoglossoides robustus,NA,18,425,oceanodromous,52,TL,hunting macrofauna (predator),generalist,generalist,NOAA,benthic,terminal,rounded,soft bottoms,benthic,Benthic (Ref. 58426).,Benthic (Ref. 58426). Minimum depth reported at 0m (Ref. 50550).,-2.1,7.9,29.4,33.5,NA,"Love 2011, USGS",non-guarder,600000,28,NA,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,20.53701016,16.76342525,42.16255443,0,9.796806967,0.07256894,0.07256894,0.145137881,0,4.862119013,5.515239478,0,0.07256894,0,TRUE
Hippoglossus stenolepis,Pleuronectidae,Pleuronectiformes,Hippoglossus stenolepis,NA,6,1100,oceanodromous,267,TL,hunting macrofauna (predator),generalist,generalist,NOAA,variable,terminal,emarginate,variable,benthic,"Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feeds on fishes, cephalopods, crabs, clams, squids, and other invertebrates (Ref. 6885).","Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feed on fishes, crabs, clams, squids, and other invertebrates (Ref. 6885).  Utilized fresh, dried or salted, smoked and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",-1,11.5,23.5,NA,occasionally in estuaries,"mecks, USGS",non-guarder,3500000,55,schooling,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, USGS",38.77646274,47.06451075,5.014169028,0,1.903650608,0.070011669,3.777296216,0.973495583,0,0.663443907,1.383563927,0.266711119,0.086681114,0.020003334,TRUE
Isopsetta isolepis,Pleuronectidae,Pleuronectiformes,Isopsetta isolepis,NA,6,425,oceanodromous,55,TL,hunting macrofauna (predator),generalist,invertivore,NOAA,variable,terminal,rounded,mud bottoms,benthic,Feeds on fish and benthic invertebrates (Ref. 6885).,"Common in shallow water on soft, silty bottom.  Moves into shallow water in summer and to deeper water in winter (Ref. 6885).  Spawning adults exhibit north-south migrations (Ref. 6885).  Feeds on chaetopod marine worms, young herring, shrimps, and sand dollars (Ref. 6885).  A tasty food fish, sometimes marketed (Ref. 2850).  Also used for mink food (Ref. 2850).",2.5,8.8,NA,NA,NA,Love 2011,non-guarder,1000000,12,NA,Love 2011,3.883495146,1.941747573,32.03883495,0,15.53398058,0,0,0,0,31.06796117,15.53398058,0,0,0,TRUE
Lepidopsetta bilineata,Pleuronectidae,Pleuronectiformes,Lepidopsetta bilineata,NA,0,339,NA,58,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,rounded,sandy bottoms,benthic,NA,"Adults occur over sand and gravel substrates to depths of 339 m; larvae collected over depths less than 1,000 m (Ref. 37594).  Feed on mollusks, polychaete worms, crustaceans, brittle stars, and fishes (Ref. 6885).  A tasty food fish; in some years commercial catch in Canada reaches 3,000 t (Ref. 2850).",2,10,NA,NA,NA,Love 2011,non-guarder,NA,26,NA,Beukhof et al. 2019,3.969849246,12.31155779,21.05527638,0,34.22110553,0.603015075,0.703517588,0.40201005,0,13.81909548,12.51256281,0.40201005,0,0,TRUE
Lepidopsetta polyxystra,Pleuronectidae,Pleuronectiformes,Lepidopsetta polyxystra,NA,0,246,NA,69,TL,variable,benthivorous,invertivore,NOAA,benthic,terminal,rounded,sandy bottoms,benthic,NA,"Occurs on sand, also together with gravel and mud (Ref. 37594).",-1.1,11.8,NA,NA,NA,Love 2011,non-guarder,404200,27,NA,"Beukhof et al. 2019, Love 2011",1.628954795,2.842006239,30.410457,0.217854137,44.59078081,0.747635787,0.024756152,0.509976729,0.00495123,8.020993217,10.70951131,0.277268901,0.014853691,0,TRUE
